preset_id,version,tier,family,subfamily,display_name,short_label,description,body_yaw_deg,torso_yaw_deg,face_yaw_deg,face_pitch_deg,gaze_target,weight_distribution,left_arm,right_arm,left_hand,right_hand,left_leg,right_leg,movement,framing,camera_height,camera_yaw_deg,camera_pitch_deg,camera_roll_deg,lens_min_mm,lens_max_mm,subject_scale_pct,crop_rule,hands_visibility,feet_visibility,required_source_views,compatible_products,incompatible_products,age_groups,pose_control_mode,keypoint_strictness,garment_priority,fabric_motion,use_cases,aspect_ratios,qa_rule_codes,risk_level,fallback_preset_id,status,sort_order
ML-POSE-CAT-001,1.0.0,CORE,CATALOG_STANDING,FRONT,Front Neutral,Front Neutral,Symmetrical front-facing catalog stance with arms relaxed and feet parallel.,0,0,0,0,CAMERA,EVEN,RELAXED_DOWN,RELAXED_DOWN,OPEN_RELAXED,OPEN_RELAXED,STRAIGHT,STRAIGHT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,LOW,ML-POSE-CAT-001,ACTIVE,1
ML-POSE-CAT-002,1.0.0,CORE,CATALOG_STANDING,FRONT,Front Relaxed,Front Relaxed,Front view with natural shoulder relaxation and slight asymmetry.,0,0,0,0,CAMERA,LEFT_55,RELAXED_DOWN,RELAXED_DOWN,OPEN_RELAXED,OPEN_RELAXED,SUPPORT,RELAXED,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,LOW,ML-POSE-CAT-001,ACTIVE,2
ML-POSE-CAT-003,1.0.0,CORE,CATALOG_STANDING,FRONT,Front Power Stance,Power Front,Front view with confident wider stance for tailoring and outerwear.,0,0,0,0,CAMERA,EVEN,RELAXED_DOWN,RELAXED_DOWN,OPEN_RELAXED,OPEN_RELAXED,WIDE,WIDE,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,LOW,ML-POSE-CAT-001,ACTIVE,3
ML-POSE-CAT-004,1.0.0,CORE,CATALOG_STANDING,FRONT,Front Weight Left,Weight Left,Front view with body weight on left leg and right knee relaxed.,0,0,0,0,CAMERA,LEFT_70,RELAXED_DOWN,RELAXED_DOWN,OPEN_RELAXED,OPEN_RELAXED,SUPPORT,BENT_SOFT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,LOW,ML-POSE-CAT-001,ACTIVE,4
ML-POSE-CAT-005,1.0.0,CORE,CATALOG_STANDING,FRONT,Front Weight Right,Weight Right,Front view with body weight on right leg and left knee relaxed.,0,0,0,0,CAMERA,RIGHT_70,RELAXED_DOWN,RELAXED_DOWN,OPEN_RELAXED,OPEN_RELAXED,BENT_SOFT,SUPPORT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,LOW,ML-POSE-CAT-001,ACTIVE,5
ML-POSE-CAT-006,1.0.0,CORE,CATALOG_STANDING,FRONT,Front One Foot Forward — Left,Foot Forward Left,Front catalog stance with left foot placed slightly forward.,0,0,0,0,CAMERA,BACK_60,RELAXED_DOWN,RELAXED_DOWN,OPEN_RELAXED,OPEN_RELAXED,FORWARD,SUPPORT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,LOW,ML-POSE-CAT-001,ACTIVE,6
ML-POSE-CAT-007,1.0.0,CORE,CATALOG_STANDING,FRONT,Front Contrapposto — Left,Contrapposto Left,Classical contrapposto with weight carried on the left leg.,0,0,0,0,CAMERA,LEFT_80,RELAXED_DOWN,RELAXED_DOWN,OPEN_RELAXED,OPEN_RELAXED,SUPPORT,BENT_SOFT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,LOW,ML-POSE-CAT-001,ACTIVE,7
ML-POSE-CAT-008,1.0.0,CORE,CATALOG_STANDING,FRONT,Front Ankles Crossed — Left,Ankles Crossed Left,Front stance with left ankle crossing in front.,0,0,0,0,CAMERA,BACK_70,RELAXED_DOWN,RELAXED_DOWN,OPEN_RELAXED,OPEN_RELAXED,CROSS_FRONT,SUPPORT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,MEDIUM,ML-POSE-CAT-001,ACTIVE,8
ML-POSE-CAT-009,1.0.0,CORE,CATALOG_STANDING,FRONT,Front One Foot Forward — Right,Foot Forward Right,Front catalog stance with right foot placed slightly forward.,0,0,0,0,CAMERA,BACK_60,RELAXED_DOWN,RELAXED_DOWN,OPEN_RELAXED,OPEN_RELAXED,SUPPORT,FORWARD,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,LOW,ML-POSE-CAT-001,ACTIVE,9
ML-POSE-CAT-010,1.0.0,CORE,CATALOG_STANDING,FRONT,Front Contrapposto — Right,Contrapposto Right,Classical contrapposto with weight carried on the right leg.,0,0,0,0,CAMERA,RIGHT_80,RELAXED_DOWN,RELAXED_DOWN,OPEN_RELAXED,OPEN_RELAXED,BENT_SOFT,SUPPORT,STATIC,FULL_BODY,CHEST,0,0,0,70,85,82,FULL_BODY_WITH_MARGIN,REQUIRED,REQUIRED,FRONT,DRESS|TOP|BOTTOM|OUTERWEAR|SUIT|KNITWEAR|ACTIVEWEAR|SWIMWEAR|JUMPSUIT,,ADULT|TEEN,OPENPOSE+DENSEPOSE,HIGH,SILHOUETTE,NONE,PDP|MARKETPLACE|WHOLESALE,4:5|3:4|2:3,GARMENT_SILHOUETTE;COLOR_FIDELITY;FACE_IDENTITY;ANATOMY_GENERAL;POSE_SIMILARITY;BACKGROUND_ARTIFACTS;RESOLUTION_MIN;FULL_GARMENT_VISIBLE;HANDS_ANATOMY;FEET_ANATOMY;CROP_COMPLIANCE,LOW,ML-POSE-CAT-001,ACTIVE,10
